"OCC_CODE","TITLE","OCC_CODE_SHORT"
"17_0000","Architecture And Engineering","17"
"27_0000","Arts, Design, Entertainment, Sports, And Media","27"
"37_0000","Building And Grounds Cleaning And Maintenance","37"
"13_0000","Business And Financial Operations","13"
"21_0000","Community And Social Services","21"
"15_0000","Computer And Mathematical","15"
"47_0000","Construction And Extraction","47"
"25_0000","Education, Training, And Library","25"
"45_0000","Farming, Fishing, And Forestry","45"
"35_0000","Food Preparation And Serving Related","35"
"29_0000","Healthcare Practitioners And Technical","29"
"31_0000","Healthcare Support","31"
"49_0000","Installation, Maintenance, And Repair","49"
"23_0000","Legal","23"
"19_0000","Life, Physical, And Social Science","19"
"11_0000","Management","11"
"43_0000","Office And Administrative Support","43"
"39_0000","Personal Care And Service","39"
"51_0000","Production","51"
"33_0000","Protective Service","33"
"41_0000","Sales And Related","41"
"53_0000","Transportation And Material Moving","53"
